taxon_oid	Domain	Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID 	Phylum	Class	Order	Family	Genus	Species	Genome Size   * assembled	Gene Count   * assembled
2728369527	Archaea	Permanent Draft	Dark ocean microbial single cell genomics	Marine Group II euryarchaeon SCGC AB-629-J06	DOE Joint Genome Institute (JGI)	2728369527	Euryarchaeota	unclassified	unclassified	unclassified	unclassified	Marine Group II euryarchaeote SCGC AB-629-J06	493989	587
2657245169	Archaea	Permanent Draft	"Sludge microbial communities from wastewater anaerobic digester in Oakland, CA, USA ? phosphite and CO2 enriched"	Methanoculleus sp. EBM-46	QB3 Vincent J. Coates Genomics Sequencing Laboratory	2657245169	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoculleus	unclassified	2796768	3158
2684622743	Archaea	Permanent Draft	Sequencing of Methanobrevibacter genomes	Methanobrevibacter cuticularis DSM11139	Goettingen Genomics Laboratory	2684622743	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter cuticularis	2572262	2131
2728369726	Archaea	Draft	"Metagenomics study of hot springs in Tengchong, Yunnan"	Unclassified Bathyarchaeota JZ bin_7 (updated)	"Beijing Novogene Bioinformatics Technology Co., Ltd"	2728369726	Candidatus Bathyarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified	1245928	1437
2551306706	Archaea	Draft	"Hot spring microbial communities from Yellowstone National Park, US"	Metallosphaera yellowstonensis r05 (OSP_D)	DOE Joint Genome Institute (JGI)	2551306706	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Metallosphaera	Metallosphaera yellowstonensis	1303335	1561
638154510	Archaea	Finished	Methanothermobacter thermautotrophicus Delta H	Methanothermobacter thermautotrophicus Delta H	Genome Therapeutics	638154510	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter	Methanothermobacter thermautotrophicus	1751377	1893
2522572137	Archaea	Draft	"Hot spring microbial communities from Yellowstone National Park, US"	Sulfolobales-MK5-r02	DOE Joint Genome Institute (JGI)	2522572137	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	unclassified	1616080	1841
2547132056	Archaea	Permanent Draft	"Pan-genome of Methanobrevibacter smithii, in twins"	Methanobrevibacter smithii TS146C	Washington University in St. Louis	2547132056	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter smithii	1947483	2428
2503044005	Archaea	Permanent Draft	Site 19 Desulfuro	Desulfurococcales archaeon	Montana State University	2503044005	Crenarchaeota	Thermoprotei	Desulfurococcales	unclassified	unclassified	unclassified	1523776	1842
2518645502	Archaea	Draft	single cell genomics of the PRT	Nitrosopumilus maritimus PRT005 (unscreened)	J. Craig Venter Institute (JCVI)	2518645502	Thaumarchaeota	unclassified	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	uncultured Candidatus Nitrosopumilus sp.	884726	1821
2651870207	Archaea	Draft	"Water column microbial communities from Red Sea, Saudi Arabia"	Nitrosopelagicus sp. REDSEA-S25_B3	King Abdullah University of Science and Technology	2651870207	Thaumarchaeota	unclassified	unclassified	unclassified	Candidatus Nitrosopelagicus	unclassified	894148	1294
2510065023	Archaea	Finished	Candidatus Nitrososphaera gargensis Ga9-2	Candidatus Nitrososphaera gargensis Ga9-2	Goettingen Genomics Laboratory	2510065023	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera	Candidatus Nitrososphaera gargensis	2833736	3599
2554235476	Archaea	Permanent Draft	Haloarchaeal genomes	Natrialba chahannaoensis JCM 10990	"University of California, Davis"	2554235476	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natrialba	Natrialba chahannaoensis	4309274	4078
643692045	Archaea	Finished	LGT in Sulfolobus islandicus	Sulfolobus islandicus M.14.25	DOE Joint Genome Institute (JGI)	643692045	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus	2608832	2900
2263328038	Archaea	Permanent Draft	mesopelagic bacterioplankton	Marine Group III euryarchaeote sp. SCGC AAA007-O11 (unscreened)	DOE Joint Genome Institute (JGI)	2263328038	Euryarchaeota	unclassified	unclassified	unclassified	unclassified	Marine Group III euryarchaeote SCGC AAA007-O11	233168	243
646311944	Archaea	Finished	"CSP_787660, Methanoarchaea"	"Methanocaldococcus vulcanius M7, DSM 12094"	DOE Joint Genome Institute (JGI)	646311944	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Methanocaldococcus vulcanius	1761737	1808
2264867215	Archaea	Permanent Draft	GEBA-MDM	Euryarchaeota archaeon SCGC AAA252-I15 (contamination screened) (SAK_001_55)	DOE Joint Genome Institute (JGI)	2264867215	Euryarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified	1325681	1526
2660238643	Archaea	Permanent Draft	"Methanosarcina Genome sequencing of Methanosarcina mazei strains isolated from sediment environments in the Columbia River Estuary in Oregon, USA"	Methanosarcina mazei 2.F.A.2.3	"University of Illinois, Urbana-Champaign"	2660238643	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina mazei	4070588	3576
2511231068	Archaea	Finished	Haloarcula hispanica CGMCC 1.2049	Haloarcula hispanica CGMCC 1.2049	Chinese Center for Disease Control and Prevention	2511231068	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Haloarcula	Haloarcula hispanica	3890005	3924
2617270898	Archaea	Permanent Draft	"Genomic Encyclopedia of Type Strains, Phase III (KMG-III): the genomes of soil and plant-associated and newly described type strains"	Haloplanus vescus CGMCC 1.8712	DOE Joint Genome Institute (JGI)	2617270898	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloplanus	Haloplanus vescus	2776859	3024
2554235506	Archaea	Permanent Draft	Haloarchaeal genomes	Halococcus salifodinae BIp	"University of California, Davis"	2554235506	Euryarchaeota	Halobacteria	Halobacteriales	Halococcaceae	Halococcus	Halococcus salifodinae	4199784	4127
638154512	Archaea	Finished	Picrophilus torridus DSM 9790	Picrophilus torridus DSM 9790	"University of Gottingen, ANRT, Technical University of Hamburg"	638154512	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Picrophilaceae	Picrophilus	Picrophilus torridus	1545895	1605
2667528102	Archaea	Permanent Draft	"Methanosarcina Genome sequencing of Methanosarcina mazei strains isolated from sediment environments in the Columbia River Estuary in Oregon, USA"	Methanosarcina mazei YBM.H.M.1A.3	"University of Illinois, Urbana-Champaign"	2667528102	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina mazei	4073693	3618
