COG	Product	KEGG	Comments
COG0016	Phenylalanyl-tRNA synthetase alpha subunit	K01889	
COG0048	Ribosomal protein S12	K02950	
COG0049	Ribosomal protein S7	K02992	
COG0051	Ribosomal protein S10	K02946	
COG0052	Ribosomal protein S2	K02967	
COG0072	Phenylalanyl-tRNA synthetase beta subunit	K01890	
COG0080	Ribosomal protein L11	K02867	
COG0087	Ribosomal protein L3	K02906	
COG0088	Ribosomal protein L4	K02926	
COG0090	Ribosomal protein L2	K02886	
COG0091	Ribosomal protein L22	K02890	
COG0092	Ribosomal protein S3	K02982	
COG0093	Ribosomal protein L14	K02874	
COG0094	Ribosomal protein L5	K02931	
COG0096	Ribosomal protein S8	K02994	
COG0097	Ribosomal protein L6P/L9E	K02933	
COG0098	Ribosomal protein S5	K02988	
COG0099	Ribosomal protein S13	K02952	
COG0100	Ribosomal protein S11	K02948	
COG0103	Ribosomal protein S9	K02996	
COG0127	XTP/dITP diphosphohydrolase	K02428	
COG0149	Triosephosphate isomerase	K01519	
COG0164	Ribonuclease HII	K03470	
COG0184	Ribosomal protein S15P/S13E	K02956	
COG0185	Ribosomal protein S19	K02965	
COG0186	Ribosomal protein S17	K02961	
COG0197	Ribosomal protein L16/L10AE	K02959	Bacteria Only
COG0200	Ribosomal protein L15	K02876	
COG0244	Ribosomal protein L10	K02864	
COG0256	Ribosomal protein L18	K02881	
COG0343	Queuine/archaeosine tRNA-ribosyltransferase	K00773	
COG0481	"Translation elongation factor EF-4, membrane-bound GTPase"	K03596	Infectious disease related in KO
COG0504	CTP synthase (UTP-ammonia lyase)	K01937	
COG0532	"Translation initiation factor IF-2, a GTPase"	K02519	
COG0533	ñN6-L-theonylcarbamoyladenine synthaseî	K01409	
COG0541	Signal recognition particle GTPase	K03106	Maybe?
