taxon_oid	Domain	Sequencing Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID 	Phylum	Class	Order	Family	Genus	Genome Size   * assembled	Gene Count   * assembled
2508501109	Archaea	Finished	CSP_300154_796307	Aciduliprofundum sp. MAR08339	DOE Joint Genome Institute JGI	2508501109	Euryarchaeota	unclassified	unclassified	unclassified	Aciduliprofundum	1437090	1598
650377985	Archaea	Finished	Vulcanisaeta moutnovskia 76828	Vulcanisaeta moutnovskia 76828	Russian Academy of Science, Centre Bioengineering	650377985	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Vulcanisaeta	2298983	2365
638154505	Archaea	Finished	Methanocaldococcus jannaschii DSM 2661	Methanocaldococcus jannaschii DSM 2661	J. Craig Venter Institute JCVI	638154505	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	1739927	1844
2510065023	Archaea	Finished	Candidatus Nitrososphaera gargensis Ga92	Candidatus Nitrososphaera gargensis Ga92	Goettingen Genomics Laboratory	2510065023	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera	2833736	3599
640427120	Archaea	Finished	Metallosphaera sedula DSM 5348	Metallosphaera sedula DSM 5348	DOE Joint Genome Institute JGI	640427120	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Metallosphaera	2191517	2347
644736411	Archaea	Finished	Thermococcus gammatolerans EJ3	Thermococcus gammatolerans EJ3	CEA Genoscope	644736411	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	2045438	2206
638154522	Archaea	Finished	Thermoplasma volcanium GSS1	Thermoplasma volcanium GSS1	National Institute of Advanced Industrial Science and Technology, AIST	638154522	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Thermoplasmataceae	Thermoplasma	1584804	1615
2728369533	Archaea	Finished	Study the patterns of natural variation and gene flow, as well as virushost coevolution in thermophilic Archaea	Sulfolobus islandicus M.16.47	University of Illinois	2728369533	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	2637559	3082
2627854017	Archaea	Finished	Methanothermobacter thermautotrophicus CaT2 genome sequencing project	Methanothermobacter thermautotrophicus CaT2	National Institute of Genetics, Japan	2627854017	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter	1731018	1837
2728369536	Archaea	Finished	Study the patterns of natural variation and gene flow, as well as virushost coevolution in thermophilic Archaea	Sulfolobus islandicus M.16.2	University of Illinois	2728369536	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	2645252	3065
2588253738	Archaea	Finished	Palaeococcus pacificus DY20341	Palaeococcus pacificus DY20341	Third Institute of Oceanography, State Oceanic Administration	2588253738	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Palaeococcus	1859370	2044
650716055	Archaea	Finished	CSP_787660, Methanoarchaea	Methanothermococcus okinawensis IH1	DOE Joint Genome Institute JGI	650716055	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanothermococcus	1677455	1672
646311906	Archaea	Finished	A Genomic Encyclopedia of Bacteria and Archaea GEBA	Archaeoglobus profundus Av18, DSM 5631	DOE Joint Genome Institute JGI	646311906	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	1563423	1911
640069314	Archaea	Finished	Hyperthermus butylicus DSM 5456	Hyperthermus butylicus DSM 5456	Epidauros Biotechnologie AG	640069314	Crenarchaeota	Thermoprotei	Desulfurococcales	Pyrodictiaceae	Hyperthermus	1667163	1669
638154512	Archaea	Finished	Picrophilus torridus DSM 9790	Picrophilus torridus DSM 9790	University of Gottingen, ANRT, Technical University of Hamburg	638154512	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Picrophilaceae	Picrophilus	1545895	1605
650377981	Archaea	Finished	Sulfolobus islandicus HVE10/4	Sulfolobus islandicus HVE10/4	University of Copenhagen	650377981	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	2655201	2826
638154502	Archaea	Finished	Archaeoglobus fulgidus VC16, DSM 4304	Archaeoglobus fulgidus VC16, DSM 4304	J. Craig Venter Institute JCVI	638154502	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	2178400	2519
643692044	Archaea	Finished	LGT in Sulfolobus islandicus	Sulfolobus islandicus L.S.2.15	DOE Joint Genome Institute JGI	643692044	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	2736272	3068
2554235461	Archaea	Finished	Genome Sequence of Aeropyrum camini	Aeropyrum camini SY1, JCM 12091	Kyoto University	2554235461	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Aeropyrum	1595994	1695
2512047039	Archaea	Finished	Pyrobaculum genomes	Pyrobaculum oguniense TE7, DSM 13380	University of California, Santa Cruz	2512047039	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	2452920	2980
643692045	Archaea	Finished	LGT in Sulfolobus islandicus	Sulfolobus islandicus M.14.25	DOE Joint Genome Institute JGI	643692045	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	2608832	2900
646862347	Archaea	Finished	Obsidian Hot Spring Microbial Community Genomics	Sulfolobus solfataricus 98/2	DOE Joint Genome Institute JGI	646862347	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	2668974	2728
648028003	Archaea	Finished	Acidilobus saccharovorans 34515	Acidilobus saccharovorans 34515	Russian Academy of Science, Centre Bioengineering	648028003	Crenarchaeota	Thermoprotei	Acidilobales	Acidilobaceae	Acidilobus	1496453	1547
640069332	Archaea	Finished	Diverse archaeal organisms	Staphylothermus marinus F1, DSM 3639	DOE Joint Genome Institute JGI	640069332	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Staphylothermus	1570485	1659
646564548	Archaea	Finished	CSP_787660, Methanoarchaea	Methanocaldococcus sp. FS40622	DOE Joint Genome Institute JGI	646564548	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	1773136	1893
649633067	Archaea	Finished	A Genomic Encyclopedia of Bacteria and Archaea GEBA	Methanothermus fervidus V24S, DSM 2088	DOE Joint Genome Institute JGI	649633067	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanothermaceae	Methanothermus	1243342	1352
638154519	Archaea	Finished	Sulfolobus tokodaii 7, JCM 10545	Sulfolobus tokodaii 7, JCM 10545	National Institute of Technology and Evaluation	638154519	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	2694756	2982
2522125074	Archaea	Finished	Archaeoglobus sulfaticallidus PM701, DSM 19444	Archaeoglobus sulfaticallidus PM701, DSM 19444 Asulf_version1	University of Uppsala	2522125074	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	2076931	2300
650716096	Archaea	Finished	Thermococcus barophilus MP, DSM 11836	Thermococcus barophilus MP, DSM 11836	J. Craig Venter Institute JCVI	650716096	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	2064237	2315
