taxon_oid	Domain	Sequencing Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID 	Phylum	Class	Order	Family	Genus	Species	Temperature Range	Genome Size    assembled	Gene Count    assembled	
2728369338	Archaea	Permanent Draft	Deep subsurface and oceanic microbial communities from Witwatersrand Basin South Africa and the Canadian and Fennoscandian shields and at the Lost City Hydrothermal Field	Aciduliprofundum sp JdFR-44	DOE Joint Genome Institute JGI	2728369338	Euryarchaeota	unclassified	unclassified	unclassified	Aciduliprofundum	Aciduliprofundum sp JdFR-44		519420	671	
2663763571	Archaea	Permanent Draft	Single-cell microbial genomes from expanding oxygen minimum zones OMZs of the northeastern subarctic Pacific Ocean NESAP	Thaumarchaeota archaeon SCGC AC-312_M21v2 unscreened	DOE Joint Genome Institute JGI	2663763571	Thaumarchaeota	unclassified	unclassified	unclassified	unclassified	Thaumarchaeota archaeon SCGC AC-312_M21		579281	765	
2574179750	Archaea	Draft	Crenarchaeota C2	Uncultured Crenarchaeota C2	US Department of Energy DOE	2574179750	Crenarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified		2459438	2872	
2554235482	Archaea	Permanent Draft	Haloarchaeal genomes	Haloarcula amylolytica JCM 13557	University of California Davis	2554235482	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Haloarcula	Haloarcula amylolytica	Mesophile	4225424	4230	
2773858058	Archaea	Finished	Pyrodictium delaneyi Su06	Pyrodictium delaneyi Su06	Kyunghee University	2773858058	Crenarchaeota	Thermoprotei	Desulfurococcales	Pyrodictiaceae	Pyrodictium	Pyrodictium delaneyi		2023836	2150	
2728369529	Archaea	Draft	Acid Mine Drainage AMD microbial and viral communities from Richmond mine Iron Mountain CA	Thermoplasmatales archaeon E-plasma	US Department of Energy DOE	2728369529	Euryarchaeota	Thermoplasmata	Thermoplasmatales	unclassified	unclassified	Thermoplasmatales archaeon E-plasma		1570563	1669	
2636415725	Archaea	Draft	uncultured Leucobacter	uncultured crenarchaeote	US Department of Energy DOE	2636415725	Crenarchaeota	unclassified	unclassified	unclassified	unclassified	uncultured marine crenarchaeote Gulf of Maine		5278992	8696	
2663763426	Archaea	Permanent Draft	Methanosarcina Genome sequencing of Methanosarcina mazei strains isolated from sediment environments in the Columbia River Estuary in Oregon USA	Methanosarcina mazei 3FT1A2	University of Illinois Urbana-Champaign	2663763426	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina mazei		4150621	3643	
2522572144	Archaea	Draft	Hot spring microbial communities from Yellowstone National Park US	Thermoplasmatales-like-NAG3-r03 from Dragon	US Department of Energy DOE	2522572144	Euryarchaeota	unclassified	unclassified	unclassified	unclassified	unclassified		1309546	1517	
2648501421	Archaea	Finished	Methanogenic archaea and the global carbon cycle UIUC	Methanosarcina barkeri 3	University of Illinois Urbana-Champaign	2648501421	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina barkeri		4560446	3836	
