taxon_oid	Domain	Sequencing Status	Study Name	Genome Name / Sample Name	Sequencing Center	IMG Genome ID 	Phylum	Class	Order	Family	Genus	Genome Size   * assembled	Gene Count   * assembled
2521172713	Archaea	Finished	Haloferax mediterranei R4, ATCC 33500	Haloferax mediterranei R4	Chinese Academy of Sciences	2521172713	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloferax	3904707	3927
650716053	Archaea	Finished	Genome sequencing and comparison of novel methanogens from peatlands and bioreactors	Methanobacterium paludis SWAN1	DOE Joint Genome Institute JGI	650716053	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	2546541	2500
637000187	Archaea	Finished	Natronomonas pharaonis Gabara, DSM 2160	Natronomonas pharaonis Gabara, DSM 2160	Max Planck Institute	637000187	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Natronomonas	2749696	2895
2563366543	Archaea	Finished	Methanococcus maripaludis S2	Methanococcus maripaludis S2	University of Washington	2563366543	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	1661137	1772
2505679073	Archaea	Finished	Methanocella sp. RCI	Methanocella arvoryzae MRE50 reannotation	Max Planck Institute	2505679073	Euryarchaeota	Methanomicrobia	Methanocellales	Methanocellaceae	Methanocella	3179916	3177
637000162	Archaea	Finished	Methanosarcina barkeri fusaro	Methanosarcina barkeri Fusaro, DSM 804	DOE Joint Genome Institute JGI	637000162	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	4873766	3830
640427121	Archaea	Finished	Methanobrevibacter smithii PS, ATCC 35061	Methanobrevibacter smithii PS, ATCC 35061	Washington University in St. Louis	640427121	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	1853160	1841
640069318	Archaea	Finished	Diverse archaeal organisms	Methanoculleus marisnigri JR1, DSM 1498	DOE Joint Genome Institute JGI	640069318	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoculleus	2478101	2560
646311934	Archaea	Finished	A Genomic Encyclopedia of Bacteria and Archaea GEBA	Haloterrigena turkmenica VKM B1734, DSM 5511	DOE Joint Genome Institute JGI	646311934	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Haloterrigena	5440782	5351
2506783068	Archaea	Finished	A Genomic Encyclopedia of Bacteria and Archaea GEBA	Methanofollis liminatans GKZPZ, DSM 4140	DOE Joint Genome Institute JGI	2506783068	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanofollis	2475100	2522
640753036	Archaea	Finished	5 mesophilic methanococci Proposal  0179051115	Methanococcus vannielii SB	DOE Joint Genome Institute JGI	640753036	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	1720048	1755
2654587756	Archaea	Finished	Methanobrevibacter millerae SM9	Methanobrevibacter millerae SM9	Pastoral Greenhouse Gas Research Consortium PGgRc	2654587756	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	2543538	2365
638154508	Archaea	Finished	Methanosarcina acetivorans C2A	Methanosarcina acetivorans C2A	Broad Institute	638154508	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	5751492	4807
646564549	Archaea	Finished	5 mesophilic methanococci Proposal  0179051115	Methanococcus voltae A3	DOE Joint Genome Institute JGI	646564549	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	1936387	1768
2545555824	Archaea	Finished	Halobiforma lacisalsi AJ5, JCM 12983	Halobiforma lacisalsi AJ5, JCM 12983	Zhejiang University	2545555824	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Halobiforma	4324184	4436
2506783009	Archaea	Finished	Completing the genomic survey of haloarchaeal genomes revised, part 2	Halovivax ruber XH70, DSM 18193	DOE Joint Genome Institute JGI	2506783009	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Halovivax	3223876	3193
649633053	Archaea	Finished	A Genomic Encyclopedia of Bacteria and Archaea GEBA	Halogeometricum borinquense PR3, DSM 11551	DOE Joint Genome Institute JGI	649633053	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Halogeometricum	3944467	3993
641228496	Archaea	Finished	5 mesophilic methanococci Proposal  0179051115	Methanococcus maripaludis C6	DOE Joint Genome Institute JGI	641228496	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	1744193	1874
2506520034	Archaea	Finished	Completing the genomic survey of haloarchaeal genomes revised, part 1	Halopiger xanaduensis SH6	DOE Joint Genome Institute JGI	2506520034	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Halopiger	4355268	4281
